Date (GMT+2),"Price (EUR/MWh, EUR/tCO2)"
2024-06-17T00:00+02:00,76.62
2024-06-17T01:00+02:00,66.73
2024-06-17T02:00+02:00,68.81
2024-06-17T03:00+02:00,71.81
2024-06-17T04:00+02:00,73.56
2024-06-17T05:00+02:00,90.02
2024-06-17T06:00+02:00,119.13
2024-06-17T07:00+02:00,132.68
2024-06-17T08:00+02:00,116.23
2024-06-17T09:00+02:00,84.73
2024-06-17T10:00+02:00,62.11
2024-06-17T11:00+02:00,55.01
2024-06-17T12:00+02:00,41.86
2024-06-17T13:00+02:00,39.45
2024-06-17T14:00+02:00,46.62
2024-06-17T15:00+02:00,54.54
2024-06-17T16:00+02:00,64.21
2024-06-17T17:00+02:00,88.58
2024-06-17T18:00+02:00,114.16
2024-06-17T19:00+02:00,157.37
2024-06-17T20:00+02:00,210.16
2024-06-17T21:00+02:00,200.01
2024-06-17T22:00+02:00,128.15
2024-06-17T23:00+02:00,101.55
2024-06-18T00:00+02:00,96.92
2024-06-18T01:00+02:00,90.29
2024-06-18T02:00+02:00,87.53
2024-06-18T03:00+02:00,89.29
2024-06-18T04:00+02:00,90.29
2024-06-18T05:00+02:00,95.94
2024-06-18T06:00+02:00,134.49
2024-06-18T07:00+02:00,130.17
2024-06-18T08:00+02:00,95.96
2024-06-18T09:00+02:00,80.9
2024-06-18T10:00+02:00,69.91
2024-06-18T11:00+02:00,54.81
2024-06-18T12:00+02:00,51.16
2024-06-18T13:00+02:00,51.03
2024-06-18T14:00+02:00,57.04
2024-06-18T15:00+02:00,73.12
2024-06-18T16:00+02:00,76.24
2024-06-18T17:00+02:00,90.06
2024-06-18T18:00+02:00,133.25
2024-06-18T19:00+02:00,158.19
2024-06-18T20:00+02:00,171.87
2024-06-18T21:00+02:00,134.47
2024-06-18T22:00+02:00,104.2
2024-06-18T23:00+02:00,91.63
2024-06-19T00:00+02:00,99.95
2024-06-19T01:00+02:00,91.43
2024-06-19T02:00+02:00,86.85
2024-06-19T03:00+02:00,85.78
2024-06-19T04:00+02:00,83.47
2024-06-19T05:00+02:00,86.41
2024-06-19T06:00+02:00,112.55
2024-06-19T07:00+02:00,116.83
2024-06-19T08:00+02:00,107.33
2024-06-19T09:00+02:00,86.31
2024-06-19T10:00+02:00,75.1
2024-06-19T11:00+02:00,66.23
2024-06-19T12:00+02:00,58.03
2024-06-19T13:00+02:00,39.84
2024-06-19T14:00+02:00,22.41
2024-06-19T15:00+02:00,23.56
2024-06-19T16:00+02:00,59.9
2024-06-19T17:00+02:00,70
2024-06-19T18:00+02:00,88.44
2024-06-19T19:00+02:00,102.9
2024-06-19T20:00+02:00,143.66
2024-06-19T21:00+02:00,115.08
2024-06-19T22:00+02:00,108.26
2024-06-19T23:00+02:00,93.21
2024-06-20T00:00+02:00,85.89
2024-06-20T01:00+02:00,78.62
2024-06-20T02:00+02:00,78.88
2024-06-20T03:00+02:00,78.82
2024-06-20T04:00+02:00,78.62
2024-06-20T05:00+02:00,86.55
2024-06-20T06:00+02:00,114.11
2024-06-20T07:00+02:00,112.84
2024-06-20T08:00+02:00,102.99
2024-06-20T09:00+02:00,80.69
2024-06-20T10:00+02:00,69.13
2024-06-20T11:00+02:00,58.77
2024-06-20T12:00+02:00,55.46
2024-06-20T13:00+02:00,53.81
2024-06-20T14:00+02:00,57.18
2024-06-20T15:00+02:00,68.58
2024-06-20T16:00+02:00,80
2024-06-20T17:00+02:00,98.27
2024-06-20T18:00+02:00,119.31
2024-06-20T19:00+02:00,155.62
2024-06-20T20:00+02:00,200.09
2024-06-20T21:00+02:00,130.06
2024-06-20T22:00+02:00,111.83
2024-06-20T23:00+02:00,95.05
2024-06-21T00:00+02:00,100.81
2024-06-21T01:00+02:00,90.77
2024-06-21T02:00+02:00,89.95
2024-06-21T03:00+02:00,87.83
2024-06-21T04:00+02:00,86.31
2024-06-21T05:00+02:00,86.14
2024-06-21T06:00+02:00,96.92
2024-06-21T07:00+02:00,122.8
2024-06-21T08:00+02:00,121.84
2024-06-21T09:00+02:00,111.67
2024-06-21T10:00+02:00,100.65
2024-06-21T11:00+02:00,89.94
2024-06-21T12:00+02:00,88.54
2024-06-21T13:00+02:00,82.68
2024-06-21T14:00+02:00,78.22
2024-06-21T15:00+02:00,82.03
2024-06-21T16:00+02:00,88.85
2024-06-21T17:00+02:00,100.65
2024-06-21T18:00+02:00,110
2024-06-21T19:00+02:00,116.93
2024-06-21T20:00+02:00,114.4
2024-06-21T21:00+02:00,105.26
2024-06-21T22:00+02:00,95.99
2024-06-21T23:00+02:00,82.14
2024-06-22T00:00+02:00,80.07
2024-06-22T01:00+02:00,70.25
2024-06-22T02:00+02:00,62.43
2024-06-22T03:00+02:00,50.5
2024-06-22T04:00+02:00,49.62
2024-06-22T05:00+02:00,46.47
2024-06-22T06:00+02:00,60.56
2024-06-22T07:00+02:00,48.89
2024-06-22T08:00+02:00,44.92
2024-06-22T09:00+02:00,34.65
2024-06-22T10:00+02:00,12.54
2024-06-22T11:00+02:00,3.59
2024-06-22T12:00+02:00,2.62
2024-06-22T13:00+02:00,0.03
2024-06-22T14:00+02:00,-0.01
2024-06-22T15:00+02:00,-0.07
2024-06-22T16:00+02:00,4.23
2024-06-22T17:00+02:00,42.59
2024-06-22T18:00+02:00,80.49
2024-06-22T19:00+02:00,112.16
2024-06-22T20:00+02:00,122.81
2024-06-22T21:00+02:00,124.05
2024-06-22T22:00+02:00,110.17
2024-06-22T23:00+02:00,89.77
2024-06-23T00:00+02:00,90.49
2024-06-23T01:00+02:00,79.25
2024-06-23T02:00+02:00,71.24
2024-06-23T03:00+02:00,70.67
2024-06-23T04:00+02:00,66.94
2024-06-23T05:00+02:00,62.09
2024-06-23T06:00+02:00,57.9
2024-06-23T07:00+02:00,46.35
2024-06-23T08:00+02:00,19.77
2024-06-23T09:00+02:00,4.24
2024-06-23T10:00+02:00,0
2024-06-23T11:00+02:00,-0.05
2024-06-23T12:00+02:00,-0.1
2024-06-23T13:00+02:00,-1.05
2024-06-23T14:00+02:00,-2.21
2024-06-23T15:00+02:00,-2.05
2024-06-23T16:00+02:00,-0.27
2024-06-23T17:00+02:00,22.61
2024-06-23T18:00+02:00,71.12
2024-06-23T19:00+02:00,99.5
2024-06-23T20:00+02:00,115.14
2024-06-23T21:00+02:00,115.44
2024-06-23T22:00+02:00,114.33
2024-06-23T23:00+02:00,99.79